MK338556.1	MK338556.1	100.000	1387	0.0	100	100
HQ548211.1	HQ548211.1	100.000	658	0.0	100	100
HQ548211.1	HQ548212.1	99.696	658	0.0	100	100
HQ548211.1	HQ548214.1	99.696	658	0.0	100	100
HQ548211.1	HQ548216.1	99.696	658	0.0	100	100
HQ548211.1	HQ548222.1	99.696	658	0.0	100	100
HQ548211.1	HQ548226.1	99.696	658	0.0	100	100
HQ548211.1	HQ548228.1	99.696	658	0.0	100	100
HQ548211.1	HQ548229.1	99.696	658	0.0	100	100
HQ548211.1	JQ574548.1	99.696	658	0.0	100	100
HQ548211.1	GU142764.1	87.046	633	0.0	96	96
HQ548211.1	GU142765.1	86.984	630	0.0	96	96
HQ548211.1	GU142763.1	85.759	632	0.0	96	96
GU142765.1	GU142764.1	100.000	629	0.0	100	100
GU142765.1	GU142765.1	100.000	629	0.0	100	100
GU142765.1	GU142763.1	93.990	599	0.0	95	95
GU142765.1	GU142762.1	90.605	628	0.0	99	99
GU142765.1	HQ548211.1	86.984	630	0.0	100	100
GU142765.1	HQ548212.1	86.825	630	0.0	100	100
GU142765.1	HQ548214.1	86.825	630	0.0	100	100
GU142765.1	HQ548216.1	86.667	630	0.0	100	100
GU142765.1	HQ548222.1	86.667	630	0.0	100	100
GU142765.1	HQ548226.1	86.667	630	0.0	100	100
GU142765.1	HQ548228.1	86.667	630	0.0	100	100
GU142765.1	HQ548229.1	86.667	630	0.0	100	100
GU142765.1	JQ574548.1	86.667	630	0.0	100	100
GU142764.1	GU142764.1	100.000	635	0.0	100	100
GU142764.1	GU142765.1	100.000	629	0.0	99	99
GU142764.1	GU142763.1	94.020	602	0.0	95	95
GU142764.1	GU142762.1	90.605	628	0.0	99	99
GU142764.1	HQ548211.1	87.046	633	0.0	99	99
GU142764.1	HQ548212.1	86.888	633	0.0	99	99
GU142764.1	HQ548214.1	86.888	633	0.0	99	99
GU142764.1	HQ548216.1	86.730	633	0.0	99	99
GU142764.1	HQ548222.1	86.730	633	0.0	99	99
GU142764.1	HQ548226.1	86.730	633	0.0	99	99
GU142764.1	HQ548228.1	86.730	633	0.0	99	99
GU142764.1	HQ548229.1	86.730	633	0.0	99	99
GU142764.1	JQ574548.1	86.730	633	0.0	99	99
GU142763.1	GU142763.1	100.000	630	0.0	100	100
GU142763.1	GU142764.1	94.020	602	0.0	96	96
GU142763.1	GU142765.1	93.990	599	0.0	95	95
GU142763.1	HQ548211.1	85.759	632	0.0	100	100
GU142763.1	HQ548212.1	85.601	632	0.0	100	100
GU142763.1	HQ548214.1	85.601	632	0.0	100	100
GU142763.1	HQ548216.1	85.443	632	0.0	100	100
GU142763.1	HQ548222.1	85.443	632	0.0	100	100
GU142763.1	HQ548226.1	85.443	632	0.0	100	100
GU142763.1	HQ548228.1	85.443	632	0.0	100	100
GU142763.1	HQ548229.1	85.443	632	0.0	100	100
GU142763.1	JQ574548.1	85.443	632	0.0	100	100
GU142762.1	GU142762.1	100.000	628	0.0	100	100
GU142762.1	GU142764.1	90.605	628	0.0	100	100
GU142762.1	GU142765.1	90.605	628	0.0	100	100
